Code,Name,Exchange
5930,삼성전자,KS
660,SK하이닉스,KS
373220,LG에너지솔루션,KS
207940,삼성바이오로직스,KS
5380,현대차,KS
34020,두산에너빌리티,KS
329180,HD현대중공업,KS
12450,한화에어로스페이스,KS
270,기아,KS
105560,KB금융,KS
42660,한화오션,KS
35420,NAVER,KS
68270,셀트리온,KS
28260,삼성물산,KS
55550,신한지주,KS
402340,SK스퀘어,KS
9540,HD한국조선해양,KS
267260,HD현대일렉트릭,KS
32830,삼성생명,KS
35720,카카오,KS
12330,현대모비스,KS
51910,LG화학,KS
15760,한국전력,KS
10140,삼성중공업,KS
6400,삼성SDI,KS
5490,POSCO홀딩스,KS
64350,현대로템,KS
86790,하나금융지주,KS
96770,SK이노베이션,KS
810,삼성화재,KS
10130,고려아연,KS
298040,효성중공업,KS
11200,HMM,KS
138040,메리츠금융지주,KS
3670,포스코퓨처엠,KS
316140,우리금융지주,KS
9150,삼성전기,KS
34730,SK,KS
33780,KT&G,KS
267250,HD현대,KS
150,두산,KS
24110,기업은행,KS
6800,미래에셋증권,KS
66570,LG전자,KS
18260,삼성에스디에스,KS
352820,하이브,KS
86280,현대글로비스,KS
42700,한미반도체,KS
10120,LS ELECTRIC,KS
259960,크래프톤,KS
30200,KT,KS
3550,LG,KS
79550,LIG넥스원,KS
17670,SK텔레콤,KS
272210,한화시스템,KS
323410,카카오뱅크,KS
443060,HD현대마린솔루션,KS
71050,한국금융지주,KS
47810,한국항공우주,KS
3230,삼양식품,KS
47050,포스코인터내셔널,KS
10620,HD현대미포,KS
100,유한양행,KS
278470,에이피알,KS
5830,DB손해보험,KS
326030,SK바이오팜,KS
10950,S-Oil,KS
3490,대한항공,KS
39490,키움증권,KS
720,현대건설,KS
880,한화,KS
34220,LG디스플레이,KS
5940,NH투자증권,KS
90430,아모레퍼시픽,KS
16360,삼성증권,KS
377300,카카오페이,KS
180640,한진칼,KS
32640,LG유플러스,KS
6260,LS,KS
21240,코웨이,KS
161390,한국타이어앤테크놀로지,KS
29780,삼성카드,KS
11070,LG이노텍,KS
241560,두산밥캣,KS
128940,한미약품,KS
454910,두산로보틱스,KS
28050,삼성E&A,KS
9830,한화솔루션,KS
1040,CJ,KS
36570,엔씨소프트,KS
11790,SKC,KS
66970,엘앤에프,KS
1440,대한전선,KS
251270,넷마블,KS
78930,GS,KS
138930,BNK금융지주,KS
175330,JB금융지주,KS
450080,에코프로머티,KS
4020,현대제철,KS
51900,LG생활건강,KS
22100,포스코DX,KS
36460,한국가스공사,KS
52690,한전기술,KS
271560,오리온,KS
302440,SK바이오사이언스,KS
2380,KCC,KS
35250,강원랜드,KS
97950,CJ제일제당,KS
4990,롯데지주,KS
103140,풍산,KS
11170,롯데케미칼,KS
18880,한온시스템,KS
17800,현대엘리베이터,KS
11780,금호석유화학,KS
4370,농심,KS
88350,한화생명,KS
8930,한미사이언스,KS
14680,한솔케미칼,KS
12750,에스원,KS
26960,동서,KS
42670,HD현대인프라코어,KS
1450,현대해상,KS
30000,제일기획,KS
51600,한전KPS,KS
111770,영원무역,KS
192820,코스맥스,KS
361610,SK아이이테크놀로지,KS
383220,F&F,KS
489790,한화비전,KS
240,한국앤컴퍼니,KS
2790,아모레퍼시픽홀딩스,KS
6040,동원산업,KS
9420,한올바이오파마,KS
139480,이마트,KS
28670,팬오션,KS
81660,미스토홀딩스,KS
139130,iM금융지주,KS
10060,OCI홀딩스,KS
120,CJ대한통운,KS
4170,신세계,KS
5850,에스엘,KS
8770,호텔신라,KS
9970,영원무역홀딩스,KS
17960,한국카본,KS
457190,이수스페셜티케미컬,KS
69960,현대백화점,KS
112610,씨에스윈드,KS
161890,한국콜마,KS
204320,HL만도,KS
282330,BGF리테일,KS
23530,롯데쇼핑,KS
6280,녹십자,KS
6360,GS건설,KS
7070,GS리테일,KS
375500,DL이앤씨,KS
11210,현대위아,KS
47040,대우건설,KS
69620,대웅제약,KS
7310,오뚜기,KS
80,하이트진로,KS
300720,한일시멘트,KS
3090,대웅,KS
4000,롯데정밀화학,KS
5300,롯데칠성,KS
7340,DN오토모티브,KS
9240,한샘,KS
12630,HDC,KS
71320,지역난방공사,KS
73240,금호타이어,KS
137310,에스디바이오센서,KS
185750,종근당,KS
192080,더블유게임즈,KS
285130,SK케미칼,KS
1800,오리온홀딩스,KS
210,DL,KS
298050,HS효성첨단소재,KS
1430,세아베스틸지주,KS
3240,태광산업,KS
3620,KG모빌리티,KS
4490,세방전지,KS
6650,대한유화,KS
8730,율촌화학,KS
14820,동원시스템즈,KS
93370,후성,KS
114090,GKL,KS
120110,코오롱인더,KS
280360,롯데웰푸드,KS
298020,효성티앤씨,KS
670,영풍,KS
1680,대상,KS
2710,TCC스틸,KS
2840,미원상사,KS
3030,세아제강지주,KS
5250,녹십자홀딩스,KS
456040,OCI,KS
39130,하나투어,KS
69260,TKG휴켐스,KS
145720,덴티움,KS
268280,미원에스씨,KS
5420,코스모화학,KS
196170,알테오젠,KQ
247540,에코프로비엠,KQ
86520,에코프로,KQ
298380,에이비엘바이오,KQ
277810,레인보우로보틱스,KQ
87010,펩트론,KQ
141080,리가켐바이오,KQ
28300,HLB,KQ
250,삼천당제약,KQ
214450,파마리서치,KQ
58470,리노공업,KQ
310210,보로노이,KQ
214150,클래시스,KQ
214370,케어젠,KQ
39030,이오테크닉스,KQ
240810,원익IPS,KQ
145020,휴젤,KQ
257720,실리콘투,KQ
68760,셀트리온제약,KQ
403870,HPSP,KQ
263750,펄어비스,KQ
35900,JYP Ent.,KQ
41510,에스엠,KQ
237690,에스티팜,KQ
140410,메지온,KQ
39200,오스코텍,KQ
84370,유진테크,KQ
89030,테크윙,KQ
357780,솔브레인,KQ
222800,심텍,KQ
95340,ISC,KQ
64760,티씨케이,KQ
5290,동진쎄미켐,KQ
67310,하나마이크론,KQ
7390,네이처셀,KQ
140860,파크시스템스,KQ
82270,젬백스,KQ
348370,엔켐,KQ
160190,하이젠알앤엠,KQ
65350,신성델타테크,KQ
290650,엘앤씨바이오,KQ
195940,HK이노엔,KQ
35760,CJ ENM,KQ
293490,카카오게임즈,KQ
36930,주성엔지니어링,KQ
96530,씨젠,KQ
178320,서진시스템,KQ
98460,고영,KQ
204270,제이앤티씨,KQ
358570,지아이이노베이션,KQ
323280,태성,KQ
253450,스튜디오드래곤,KQ
122870,와이지엔터테인먼트,KQ
78600,대주전자재료,KQ
232140,와이씨,KQ
328130,루닛,KQ
31980,피에스케이홀딩스,KQ
101490,에스앤에스텍,KQ
319660,피에스케이,KQ
213420,덕산네오룩스,KQ
137400,피엔티,KQ
85660,차바이오텍,KQ
183300,코미코,KQ
161580,필옵틱스,KQ
281740,레이크머티리얼즈,KQ
112040,위메이드,KQ
86900,메디톡스,KQ
3380,하림지주,KQ
417200,LS머트리얼즈,KQ
131970,두산테스나,KQ
95610,테스,KQ
86450,동국제약,KQ
225570,넥슨게임즈,KQ
33500,동성화인텍,KQ
166090,하나머티리얼즈,KQ
36830,솔브레인홀딩스,KQ
67160,SOOP,KQ
42000,카페24,KQ
241710,코스메카코리아,KQ
218410,RFHIC,KQ
56190,에스에프에이,KQ
376300,디어유,KQ
14620,성광벤드,KQ
121600,나노신소재,KQ
18290,브이티,KQ
6730,서부T&D,KQ
36810,에프에스티,KQ
36540,SFA반도체,KQ
336570,원텍,KQ
348210,넥스틴,KQ
58610,에스피지,KQ
53800,안랩,KQ
41190,우리기술투자,KQ
32190,다우데이타,KQ
9520,포스코엠텍,KQ
25980,아난티,KQ
80220,제주반도체,KQ
60250,NHN KCP,KQ
32500,케이엠더블유,KQ
131290,티에스이,KQ
278280,천보,KQ
30520,한글과컴퓨터,KQ
95660,네오위즈,KQ
33100,제룡전기,KQ
25320,시노펙스,KQ
74600,원익QnC,KQ
101730,위메이드맥스,KQ
222080,씨아이에스,KQ
383310,에코프로에이치엔,KQ
399720,가온칩스,KQ
15750,성우하이텍,KQ
253590,네오셈,KQ
25900,동화기업,KQ
58970,엠로,KQ
48410,현대바이오,KQ
365340,성일하이텍,KQ
99190,아이센스,KQ
179900,유티아이,KQ
272290,이녹스첨단소재,KQ
53030,바이넥스,KQ
352480,씨앤씨인터내셔널,KQ
215200,메가스터디교육,KQ
34950,한국기업평가,KQ
79370,제우스,KQ
69080,웹젠,KQ
60280,큐렉소,KQ
50890,쏠리드,KQ
95500,미래나노텍,KQ
189300,인텔리안테크,KQ
171090,선익시스템,KQ
420770,기가비스,KQ
91700,파트론,KQ
317330,덕산테코피아,KQ
53610,프로텍,KQ
78340,컴투스,KQ
194480,데브시스터즈,KQ
101360,에코앤드림,KQ
215000,골프존,KQ
200130,콜마비앤에이치,KQ
64550,바이오니아,KQ
46890,서울반도체,KQ
108860,셀바스AI,KQ
94360,칩스앤미디어,KQ
115450,HLB테라퓨틱스,KQ
267980,매일유업,KQ
49070,인탑스,KQ
84850,아이티엠반도체,KQ
114840,아이패밀리에스씨,KQ
394280,오픈엣지테크놀로지,KQ
91120,이엠텍,KQ
